Age group series-alias,Type-alias,Type-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[none:type:nk]-alias,SUM(Pivot Field Values)-value,SUM(Pivot Field Values)-alias,MONTH(Service Month)-value,MONTH(Service Month)-alias,MONTH(Service Month)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[tmn:ServiceMonth:qk]-value,MONTH(Service Month)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[tmn:ServiceMonth:qk]-alias,ATTR(rolling_tooltip_text)-alias,ATTR(rolling 3 months average text)-alias,ATTR(rolling 3 months average text)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:Calculation_892838648462733318:nk]-alias,ATTR(Description)-alias,ATTR(Description)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:Description:nk]-alias,ATTR(Age Series tooltip )-alias,ATTR(State1)-alias,ATTR(State1)-[federated.0mwhe0y1pr7czz1dk80sw1mc2kwj].[attr:State:nk]-alias,Series-alias,Series (label)-alias,SUM(policy_event_ind)-alias,ATTR(Series tooltip)-alias
65+,Total,Total,0.7804064946,0.7804064946,1984-02-01 00:00:00,February 1984,1991-12-01 00:00:00,December 1991, ,%null%,%null%,%null%,"On 1 December 1991, benefits for out-of-hospital GP attendances for non-card holders were reduced by $3.50. GPs could charge a copayment for bulk billed services of up to $2.50 to compensate for the benefit reduction. In addition, GPs were paid a $1 transaction fee to cover the cost of collecting the copayment. Examples of card holders were persons covered by a Health Care Card, Pensioner Health Benefits Card and Specific Treatment Entitlement Card. Copayments for bulk billing and the benefit reduction ceased from 1 March 1992.",For 65+ year olds,Australia,Australia,Aus,Aus,6.000,In Aus
65+,Total,Total,0.7881267178,0.7881267178,1984-03-01 00:00:00,March 1984,1992-01-01 00:00:00,January 1992, ,%null%,%null%,%null%,"On 1 December 1991, benefits for out-of-hospital GP attendances for non-card holders were reduced by $3.50. GPs could charge a copayment for bulk billed services of up to $2.50 to compensate for the benefit reduction. In addition, GPs were paid a $1 transaction fee to cover the cost of collecting the copayment. Examples of card holders were persons covered by a Health Care Card, Pensioner Health Benefits Card and Specific Treatment Entitlement Card. Copayments for bulk billing and the benefit reduction ceased from 1 March 1992.",For 65+ year olds,Australia,Australia,Aus,Aus,6.000,In Aus
65+,Total,Total,0.789914034,0.789914034,1984-04-01 00:00:00,April 1984,1992-02-01 00:00:00,February 1992, ,%null%,%null%,%null%,"On 1 December 1991, benefits for out-of-hospital GP attendances for non-card holders were reduced by $3.50. GPs could charge a copayment for bulk billed services of up to $2.50 to compensate for the benefit reduction. In addition, GPs were paid a $1 transaction fee to cover the cost of collecting the copayment. Examples of card holders were persons covered by a Health Care Card, Pensioner Health Benefits Card and Specific Treatment Entitlement Card. Copayments for bulk billing and the benefit reduction ceased from 1 March 1992.",For 65+ year olds,Australia,Australia,Aus,Aus,6.000,In Aus
65+,Total,Total,0.7920448005,0.7920448005,1984-05-01 00:00:00,May 1984,2004-02-01 00:00:00,February 2004, ,%null%,%null%,%null%,"On 1 February 2004, the $4 billion Strengthening Medicare package in response to falling rates of bulk billing was introduced. Bulk billing incentives introduced for non-referred services involving children under 16 and concessional patients.",For 65+ year olds,Australia,Australia,Aus,Aus,6.000,In Aus
65+,Total,Total,0.7970091975,0.7970091975,1984-06-01 00:00:00,June 1984,2004-05-01 00:00:00,May 2004, ,%null%,%null%,%null%,"On 1 May 2004, the introduction of additional bulk billing incentive item, 10991 to provide a higher incentive payment (compared to item 10990) for the bulk billing of children under 16 and concessional patients for attendances provided in regional, rural or remote areas, areas of health workforce shortage or the whole of Tasmania. Eligible areas have later been defined by Modified Monash areas.",For 65+ year olds,Australia,Australia,Aus,Aus,6.000,In Aus
65+,Total,Total,0.7967046929,0.7967046929,1984-07-01 00:00:00,July 1984,2005-01-01 00:00:00,January 2005, ,%null%,%null%,%null%,"On 1 January 2005, rebates for non-hospital GP attendances increased to 100% of Schedule fee (not appliable to bulk billing incentive items). Also introduced was item 10992, which provided another incentive for the bulk billing of children under 16 and concessional patients receiving after-hours attendances provided in the areas defined under item 10991, in the specific case of the GP not being based in the eligible area, and therefore unable to claim item 10991.",For 65+ year olds,Australia,Australia,Aus,Aus,6.000,In Aus
65+,Total,Total,0.7987557339,0.7987557339,1984-08-01 00:00:00,August 1984,2014-07-01 00:00:00,July 2014, ,%null%,%null%,%null%,"After 1 July 2014, a freeze on indexation to Schedule fees was introduced (known as the Medicare rebate freeze).",For 65+ year olds,Australia,Australia,Aus,Aus,6.000,In Aus
65+,Total,Total,0.7979359924,0.7979359924,1984-09-01 00:00:00,September 1984,2017-07-01 00:00:00,July 2017, ,%null%,%null%,%null%,"From 1 July 2017, re-introduction of indexation of Schedule fees in a phased lifting approach commenced. However, indexation did not extend to all Medicare items.",For 65+ year olds,Australia,Australia,Aus,Aus,6.000,In Aus
65+,Total,Total,0.8008995781,0.8008995781,1984-10-01 00:00:00,October 1984,2020-03-01 00:00:00,March 2020, ,%null%,%null%,%null%,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",For 65+ year olds,Australia,Australia,Aus,Aus,6.000,In Aus
65+,Total,Total,0.8025043068,0.8025043068,1984-11-01 00:00:00,November 1984,2020-04-01 00:00:00,April 2020, ,%null%,%null%,%null%,"From 13 March 2020, new telehealth items were introduced to protect patients and doctors during the COVID-19 pandemic. There was a temporary doubling of Schedule fees for all bulk billing incentive items between 30 March and 30 September. This included 2 temporary GP and other medical practitioner bulk billing incentive items for patients who are vulnerable to COVID-19, introduced on 20 April and ended on 30 September.",For 65+ year olds,Australia,Australia,Aus,Aus,6.000,In Aus
