State1-alias,Reset_state_Australia-alias,Lga Code21-alias,SUM(Pivot Field Values (copy))-alias,ATTR(map_suppress_text)-alias,ATTR(Lga Name)-alias,ATTR(main_RA)-alias,ATTR(main_SEIFA)-alias
WA,Aus,59370,0.7945345059,%null%,York,1 (Inner regional),3
WA,Aus,59360,0.9132321041,%null%,Yilgarn,3 (Remote),3
WA,Aus,59340,0.8739342403,%null%,Wyndham-East Kimberley,4 (Very remote),1 (most disadvantaged)
WA,Aus,59330,0.8869565217,%null%,Wyalkatchem,2 (Outer regional),1 (most disadvantaged)
WA,Aus,59320,0.9724446867,%null%,Woodanilling,2 (Outer regional),4
WA,Aus,59310,0.9265208584,%null%,Wongan-Ballidu,2 (Outer regional),2
WA,Aus,59250,0.9515151515,%null%,Wiluna,4 (Very remote),1 (most disadvantaged)
WA,Aus,59170,0.6867709277,%null%,Williams,2 (Outer regional),5 (least disadvantage)
WA,Aus,59100,0.7395459489,%null%,Wickepin,2 (Outer regional),4
WA,Aus,59030,0.7834167413,%null%,Westonia,3 (Remote),5 (least disadvantage)
WA,Aus,58890,0.7093724495,%null%,West Arthur,2 (Outer regional),5 (least disadvantage)
WA,Aus,58820,0.9236890565,%null%,Waroona,1 (Inner regional),2
WA,Aus,58760,0.7302476082,%null%,Wanneroo,0 (Major cities),4
WA,Aus,58680,0.8999579429,%null%,Wandering,2 (Outer regional),4
WA,Aus,58610,0.931372549,%null%,Wagin,2 (Outer regional),2
WA,Aus,58570,0.5867422094,%null%,Vincent,0 (Major cities),5 (least disadvantage)
WA,Aus,58540,0.6985429089,%null%,Victoria Plains,2 (Outer regional),5 (least disadvantage)
WA,Aus,58510,0.6857980652,%null%,Victoria Park,0 (Major cities),5 (least disadvantage)
WA,Aus,58400,0.8571428571,%null%,Trayning,3 (Remote),1 (most disadvantaged)
WA,Aus,58330,0.8550577712,%null%,Toodyay,1 (Inner regional),3
WA,Aus,58260,0.9683098592,%null%,Three Springs,3 (Remote),2
WA,Aus,58190,0.8917525773,%null%,Tammin,2 (Outer regional),2
WA,Aus,58050,0.76860476,%null%,Swan,0 (Major cities),4
WA,Aus,57980,0.5188142489,%null%,Subiaco,0 (Major cities),5 (least disadvantage)
WA,Aus,57910,0.6731318643,%null%,Stirling,0 (Major cities),5 (least disadvantage)
WA,Aus,57840,0.6699998998,%null%,South Perth,0 (Major cities),5 (least disadvantage)
WA,Aus,57770,0.7788048135,%null%,Shark Bay,4 (Very remote),3
WA,Aus,57490,0.8153746603,%null%,Rockingham,0 (Major cities),3
WA,Aus,57420,0.8592089654,%null%,Ravensthorpe,4 (Very remote),4
WA,Aus,57350,0.9516908213,%null%,Quairading,2 (Outer regional),2
WA,Aus,57280,0.6614673042,%null%,Port Hedland,3 (Remote),4
WA,Aus,57210,0.8067582417,%null%,Plantagenet,2 (Outer regional),2
WA,Aus,57140,0.9023397762,%null%,Pingelly,2 (Outer regional),1 (most disadvantaged)
WA,Aus,57080,0.6228643066,%null%,Perth,0 (Major cities),5 (least disadvantage)
WA,Aus,57000,0.8740732711,%null%,Perenjori,3 (Remote),5 (least disadvantage)
WA,Aus,56930,0.4766164068,%null%,Peppermint Grove,0 (Major cities),5 (least disadvantage)
WA,Aus,56860,0.875,%null%,Nungarin,3 (Remote),3
WA,Aus,56790,0.8472105658,%null%,Northampton,3 (Remote),2
WA,Aus,56730,0.7974578541,%null%,Northam,1 (Inner regional),2
WA,Aus,56580,0.5463011683,%null%,Nedlands,0 (Major cities),5 (least disadvantage)
WA,Aus,56460,0.8060025384,%null%,Narrogin,2 (Outer regional),2
WA,Aus,56370,0.8571073268,%null%,Narembeen,3 (Remote),5 (least disadvantage)
WA,Aus,56300,0.9077831979,%null%,Nannup,2 (Outer regional),3
WA,Aus,56230,0.7870681863,%null%,Murray,0 (Major cities),2
WA,Aus,56090,0.7263581771,%null%,Mundaring,0 (Major cities),5 (least disadvantage)
WA,Aus,55950,0.7264957265,%null%,Mukinbudin,3 (Remote),4
WA,Aus,55880,0.6853132314,%null%,Mount Marshall,3 (Remote),3
WA,Aus,55810,0.8585858586,%null%,Mount Magnet,4 (Very remote),1 (most disadvantaged)
WA,Aus,55740,0.5157490931,%null%,Mosman Park,0 (Major cities),5 (least disadvantage)
WA,Aus,55670,0.9098741969,%null%,Morawa,3 (Remote),2
WA,Aus,55600,0.647501761,%null%,Moora,2 (Outer regional),2
WA,Aus,55530,0.708994709,%null%,Mingenew,2 (Outer regional),4
WA,Aus,55460,0.9156556659,%null%,Merredin,2 (Outer regional),3
WA,Aus,55320,0.6566221042,%null%,Melville,0 (Major cities),5 (least disadvantage)
WA,Aus,55250,0.9625668449,%null%,Meekatharra,4 (Very remote),1 (most disadvantaged)
WA,Aus,55180,0.829843053,%null%,Manjimup,2 (Outer regional),2
WA,Aus,55110,0.774727327,%null%,Mandurah,0 (Major cities),2
WA,Aus,55040,0.9283387622,%null%,Leonora,4 (Very remote),2
WA,Aus,54970,0.9772727649,%null%,Laverton,4 (Very remote),1 (most disadvantaged)
WA,Aus,54900,0.7849108002,%null%,Lake Grace,3 (Remote),5 (least disadvantage)
WA,Aus,54830,0.8576945404,%null%,Kwinana,0 (Major cities),3
WA,Aus,54760,0.8017987624,%null%,Kulin,3 (Remote),5 (least disadvantage)
WA,Aus,54690,0.9113300493,%null%,Koorda,3 (Remote),3
WA,Aus,54620,0.8431651671,%null%,Kondinin,3 (Remote),3
WA,Aus,54550,0.8152901485,%null%,Kojonup,2 (Outer regional),4
WA,Aus,54480,0.8321167883,%null%,Kent,3 (Remote),5 (least disadvantage)
WA,Aus,54410,0.9180035651,%null%,Kellerberrin,2 (Outer regional),1 (most disadvantaged)
